<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
ВТБ ао;D;20191216;000000;0.04638;0.046985;0.04635;0.04651;27047280000;1263601190.6
ВТБ ао;D;20191217;000000;0.04662;0.046785;0.04642;0.04655;14654050000;682533202.05
ВТБ ао;D;20191218;000000;0.04654;0.047;0.04619;0.04692;22032700000;1028001319
ВТБ ао;D;20191219;000000;0.04684;0.047215;0.046;0.046515;34847580000;1631039815.85
ВТБ ао;D;20191220;000000;0.04661;0.046695;0.04611;0.0463;17237600000;799593570.75
ВТБ ао;D;20191223;000000;0.046305;0.046655;0.046305;0.046505;11769950000;547040161.9
ВТБ ао;D;20191224;000000;0.04668;0.046705;0.0463;0.04635;9577350000;445262487.45
ВТБ ао;D;20191225;000000;0.0464;0.046485;0.04593;0.04598;12430690000;573581459.75
ВТБ ао;D;20191226;000000;0.045995;0.04616;0.04587;0.046;10110880000;465472741.65
ВТБ ао;D;20191227;000000;0.0461;0.04617;0.045755;0.04588;15598600000;717174639.65
ВТБ ао;D;20191230;000000;0.04599;0.04619;0.045865;0.0459;11859280000;545894082.7
ВТБ ао;D;20200103;000000;0.046145;0.04634;0.045995;0.04624;11909550000;549559279.9
ВТБ ао;D;20200106;000000;0.04611;0.046195;0.04593;0.04611;8017580000;368895793.95
ВТБ ао;D;20200108;000000;0.04621;0.047;0.0462;0.046525;28820270000;1347597297.1
ВТБ ао;D;20200109;000000;0.04683;0.0473;0.046575;0.047075;29512690000;1387380128.5
ВТБ ао;D;20200110;000000;0.04715;0.04789;0.047005;0.0476;29926040000;1422514401.85
ВТБ ао;D;20200113;000000;0.0477;0.04825;0.04761;0.04806;32648660000;1565494120.5
ВТБ ао;D;20200114;000000;0.04815;0.048425;0.0471;0.04726;39584050000;1891973977.5
ВТБ ао;D;20200115;000000;0.04722;0.04815;0.0467;0.046805;59834060000;2833190981.85
ВТБ ао;D;20200116;000000;0.04702;0.047825;0.047;0.047825;30869390000;1464964639.5
ВТБ ао;D;20200117;000000;0.04781;0.0482;0.0477;0.048035;28034470000;1344876338.45
ВТБ ао;D;20200120;000000;0.048245;0.04884;0.048;0.048015;44846630000;2173621015.9
ВТБ ао;D;20200121;000000;0.048015;0.05025;0.047415;0.04981;156573160000;7722363226.85
ВТБ ао;D;20200122;000000;0.0499;0.05025;0.048885;0.04897;51858400000;2566588622.65
ВТБ ао;D;20200123;000000;0.048595;0.04945;0.0482;0.0485;43270260000;2110177413.3
ВТБ ао;D;20200124;000000;0.04877;0.049115;0.048;0.048;39924570000;1939133089.05
ВТБ ао;D;20200127;000000;0.0475;0.04767;0.04625;0.04682;50776730000;2389715407.65
ВТБ ао;D;20200128;000000;0.04712;0.047295;0.046425;0.0472;26075830000;1223115679.9
ВТБ ао;D;20200129;000000;0.04735;0.04778;0.047;0.04754;34516560000;1636135994.3
ВТБ ао;D;20200130;000000;0.047325;0.047735;0.04701;0.047045;22479350000;1064965022.25
ВТБ ао;D;20200131;000000;0.04741;0.04756;0.0464;0.0464;30120300000;1414196588
ВТБ ао;D;20200203;000000;0.046;0.046565;0.045835;0.04615;29255480000;1351918069.3
