<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
VTBR;D;231201;000000;119.35;120.625;117.6;118.05;12129966
VTBR;D;231204;000000;117.95;117.95;112.35;112.725;22082224
VTBR;D;231205;000000;113.3;114.5;111.65;114.425;19590976
VTBR;D;231206;000000;114.4;114.825;109.725;110.35;25735498
VTBR;D;231207;000000;110.75;114.325;110.125;112.3;29682718
VTBR;D;231208;000000;112.425;113.2;110.625;111.65;12954936
VTBR;D;231211;000000;111.825;112.975;109.8;110.225;21072672
VTBR;D;231212;000000;110.35;114.475;110.325;111.75;28229194
VTBR;D;231213;000000;111.3;113.925;110.85;113.925;15089902
VTBR;D;231214;000000;114.375;115.75;112.025;113;18614608
VTBR;D;231215;000000;112.9;118.1;112.425;117.425;25940994
VTBR;D;231218;000000;117.9;119.65;116.525;117.3;20289314
VTBR;D;231219;000000;116.25;117.85;115.35;117.75;14951304
VTBR;D;231220;000000;117.7;118.375;116.25;116.525;10798402
VTBR;D;231221;000000;116.5;117.25;113.75;114.675;19295310
VTBR;D;231222;000000;114.925;116.525;114.075;114.875;20210382
VTBR;D;231225;000000;115.25;116.15;113.975;115.975;12349990
VTBR;D;231226;000000;115.7;116.325;114.825;115.8;12525598
VTBR;D;231227;000000;115.95;115.975;114.1;114.375;11913452
VTBR;D;231228;000000;114.6;114.95;113.225;113.475;10442340
VTBR;D;231229;000000;113.65;115.25;113.25;113.4;10940230
VTBR;D;240103;000000;113.575;115.2;113.55;115.125;7225152
VTBR;D;240104;000000;115.125;115.975;114.85;115.55;5964360
VTBR;D;240105;000000;115.525;120.275;115.4;120;30446878
VTBR;D;240108;000000;120.225;124.5;120.075;124.275;35755788
VTBR;D;240109;000000;124.55;124.7;122.35;123.5;17561532
VTBR;D;240110;000000;123.5;124.25;121.175;122.175;14009924
VTBR;D;240111;000000;122.5;126.675;121.375;125.95;37273324
VTBR;D;240112;000000;126.35;126.75;124.6;125.125;12814796
VTBR;D;240115;000000;125.175;125.975;123.6;124.3;12593408
VTBR;D;240116;000000;124.35;125.85;122.675;124.925;14950080
VTBR;D;240117;000000;125.175;126.7;124.7;124.975;17865746
VTBR;D;240118;000000;125.025;125.375;122.425;122.575;15467656
VTBR;D;240119;000000;122.85;124.2;122.025;122.75;14216254
VTBR;D;240122;000000;123;124.925;122.125;124.175;9621244
VTBR;D;240123;000000;124.35;124.75;122.625;122.975;10137158
VTBR;D;240124;000000;123.075;123.975;120.1;120.85;21373506
VTBR;D;240125;000000;121;122.3;120.175;121.975;12837268
VTBR;D;240126;000000;121.975;122.9;120.575;120.75;10626462
VTBR;D;240129;000000;120.925;122.275;120.875;121.825;8687882
VTBR;D;240130;000000;121.975;123.925;121.925;122.625;17023718
VTBR;D;240131;000000;122.9;123.45;122.05;122.875;11796380
VTBR;D;240201;000000;123.25;124.25;122.5;123.125;13647476
VTBR;D;240202;000000;123.1;123.2;121.7;122.2;8914898
VTBR;D;240205;000000;122.25;123.175;121.675;122.275;9608718
VTBR;D;240206;000000;122.325;122.7;121.025;121.9;9937184
VTBR;D;240207;000000;122;123.9;121.8;123.45;23772902
VTBR;D;240208;000000;123.6;124.95;121.15;121.3;28522580
VTBR;D;240209;000000;121.375;122.475;120.4;121.65;11959016
VTBR;D;240212;000000;122.175;122.9;121.9;122.325;10842766
VTBR;D;240213;000000;122.65;123.45;121;121.975;16135700
VTBR;D;240214;000000;122.325;123.05;121.75;122.5;22932908
VTBR;D;240215;000000;122.575;122.725;121.3;121.925;15490964
