<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<AMOUNT>;<VOLUME>
USDRUB_TOD;D;12/02/24;000000;90.76;91.405;90.76;91.2925;0;0
USDRUB_TOD;D;13/02/24;000000;91.49;91.4925;91.015;91.145;0;0
USDRUB_TOD;D;14/02/24;000000;91.1575;91.615;91.1575;91.375;0;0
USDRUB_TOD;D;15/02/24;000000;91.41;92.27;91.315;92.24;0;0
USDRUB_TOD;D;16/02/24;000000;92.3;93.31;92.2;93.31;0;0
USDRUB_TOD;D;20/02/24;000000;92.54;92.625;92.2;92.325;0;0
USDRUB_TOD;D;21/02/24;000000;92.3;92.56;92.155;92.33;0;0
USDRUB_TOD;D;22/02/24;000000;93.15;100.15;91.185;95.9875;0;0
USDRUB_TOD;D;26/02/24;000000;92.7025;93.2075;91.79;92.1275;0;0
USDRUB_TOD;D;27/02/24;000000;92.4575;92.4575;91.82;92.135;0;0
USDRUB_TOD;D;28/02/24;000000;92.12;92.2625;91.155;92.1;0;0
USDRUB_TOD;D;29/02/24;000000;91.1;91.33;90.5025;90.6525;0;0
USDRUB_TOD;D;01/03/24;000000;91;91.68;90.8875;91.68;0;0
USDRUB_TOD;D;04/03/24;000000;91.975;92;91.1725;91.1725;0;0
USDRUB_TOD;D;05/03/24;000000;91.4775;91.4775;90.6875;90.7225;0;0
USDRUB_TOD;D;06/03/24;000000;90.52;90.985;90.05;90.985;0;0
USDRUB_TOD;D;07/03/24;000000;90.38;90.9475;90.38;90.45;0;0
USDRUB_TOD;D;11/03/24;000000;90.6775;90.815;90.41;90.5425;0;0
USDRUB_TOD;D;12/03/24;000000;90.325;91.81;90.325;91.8025;0;0
USDRUB_TOD;D;13/03/24;000000;91.8775;91.945;91.155;91.155;0;0
USDRUB_TOD;D;14/03/24;000000;91.9425;91.9425;91.2;91.2;0;0
USDRUB_TOD;D;15/03/24;000000;91.705;92.575;91.465;92.5525;0;0
USDRUB_TOD;D;18/03/24;000000;93;93.7275;91.2875;91.7475;0;0
USDRUB_TOD;D;19/03/24;000000;92.08;92.6125;91.67;92.41;0;0
USDRUB_TOD;D;20/03/24;000000;92.84;92.84;92.1375;92.2775;0;0
USDRUB_TOD;D;21/03/24;000000;92.37;92.4225;91.4;91.9625;0;0
USDRUB_TOD;D;22/03/24;000000;92.4;92.76;91.325;92.7275;0;0
USDRUB_TOD;D;25/03/24;000000;93;93;92.4925;92.6775;0;0
USDRUB_TOD;D;26/03/24;000000;92.5875;92.835;92.1525;92.69;0;0
USDRUB_TOD;D;27/03/24;000000;92.7925;92.7925;91.7375;92.1;0;0
USDRUB_TOD;D;28/03/24;000000;91.7375;92.6125;91.7375;92.525;0;0
USDRUB_TOD;D;29/03/24;000000;92.465;92.7025;91.9025;91.9025;0;0
USDRUB_TOD;D;01/04/24;000000;92.38;92.44;92.1225;92.33;0;0
USDRUB_TOD;D;02/04/24;000000;92.35;92.7325;92.21;92.4025;0;0
USDRUB_TOD;D;03/04/24;000000;92.475;92.7475;91.8875;92.3625;0;0
USDRUB_TOD;D;04/04/24;000000;92.35;92.4725;92.05;92.21;0;0
USDRUB_TOD;D;05/04/24;000000;92.3;92.5;92.2;92.435;0;0
USDRUB_TOD;D;08/04/24;000000;92.565;92.6625;92.39;92.59;0;0
USDRUB_TOD;D;09/04/24;000000;92.6125;92.81;92.605;92.695;0;0
USDRUB_TOD;D;10/04/24;000000;93;93.5425;92.8025;93.37;0;0
USDRUB_TOD;D;11/04/24;000000;93.5;93.8825;93.015;93.19;0;0
USDRUB_TOD;D;12/04/24;000000;93.3375;93.63;93.1325;93.3075;0;0
USDRUB_TOD;D;15/04/24;000000;93.555;93.6875;93.37;93.58;0;0
USDRUB_TOD;D;16/04/24;000000;93.795;94.405;93.7675;94.2925;0;0
USDRUB_TOD;D;17/04/24;000000;94.4275;94.49;94.04;94.0425;0;0
USDRUB_TOD;D;18/04/24;000000;94.265;94.3775;92.0725;92.0725;0;0
USDRUB_TOD;D;19/04/24;000000;93.68;93.9375;92.81;93.0575;0;0
USDRUB_TOD;D;22/04/24;000000;93.1825;93.6975;93.0525;93.2025;0;0
USDRUB_TOD;D;23/04/24;000000;93.4125;93.47;92.9075;93.0025;0;0
USDRUB_TOD;D;24/04/24;000000;93.15;93.165;92.1275;92.3025;0;0
USDRUB_TOD;D;25/04/24;000000;92.4375;92.4925;91.88;92.0525;0;0
USDRUB_TOD;D;26/04/24;000000;92.0125;92.05;90.8425;91.555;0;0
USDRUB_TOD;D;02/05/24;000000;92.805;93.46;91.72;92.105;0;0
USDRUB_TOD;D;03/05/24;000000;92.2825;92.2825;91.4025;91.4025;0;0
USDRUB_TOD;D;06/05/24;000000;91.75;92;90.7875;91.195;0;0
USDRUB_TOD;D;07/05/24;000000;91.955;91.955;90.865;91.2725;0;0
USDRUB_TOD;D;08/05/24;000000;91.2325;91.925;91.0325;91.4925;0;0
USDRUB_TOD;D;13/05/24;000000;92.2875;92.2975;91.215;91.3;0;0
USDRUB_TOD;D;14/05/24;000000;91.37;91.6225;91.1075;91.275;0;0
USDRUB_TOD;D;15/05/24;000000;91.23;91.4075;90.9275;91.06;0;0
USDRUB_TOD;D;16/05/24;000000;91.0525;91.2;90.68;90.9775;0;0
USDRUB_TOD;D;17/05/24;000000;91.185;91.185;90.7925;90.97;0;0
USDRUB_TOD;D;20/05/24;000000;91.06;91.145;90.35;90.8475;0;0
USDRUB_TOD;D;21/05/24;000000;90.5825;90.7775;90.12;90.395;0;0
USDRUB_TOD;D;22/05/24;000000;90;90.28;89.71;89.95;0;0
USDRUB_TOD;D;23/05/24;000000;90.1475;90.3;89.9325;89.95;0;0
USDRUB_TOD;D;24/05/24;000000;89.9;90.0275;89.11;89.25;0;0
USDRUB_TOD;D;28/05/24;000000;89.02;89.02;88.18;88.5025;0;0
USDRUB_TOD;D;29/05/24;000000;88.9275;89.725;88.54;89.2275;0;0
USDRUB_TOD;D;30/05/24;000000;89.575;89.9975;89.4925;89.77;0;0
USDRUB_TOD;D;31/05/24;000000;90;90.2925;89.785;89.83;0;0
USDRUB_TOD;D;03/06/24;000000;90.1925;90.1925;88.7325;89.1425;0;0
USDRUB_TOD;D;04/06/24;000000;89.0275;89.3825;88.4125;88.7475;0;0
USDRUB_TOD;D;05/06/24;000000;88.835;88.96;88.4075;88.775;0;0
USDRUB_TOD;D;06/06/24;000000;88.74;89.085;88.445;88.975;0;0
USDRUB_TOD;D;07/06/24;000000;88.7675;89.425;88.415;89.12;0;0
USDRUB_TOD;D;10/06/24;000000;88.76;89.42;88.64;88.8025;0;0
USDRUB_TOD;D;11/06/24;000000;88.8225;89.23;88.4925;89.13;0;0
