<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
GC;D;231213;000000;1993.1;2053.5;1987.9;2045.8;177537
GC;D;231214;000000;2045.7;2062.9;2042;2051;184808
GC;D;231215;000000;2051;2059.6;2029.2;2034.7;137443
GC;D;231218;000000;2033.8;2048;2029.5;2037.6;147935
GC;D;231219;000000;2037.6;2061;2036.1;2053.7;119686
GC;D;231220;000000;2053.8;2056.9;2042.5;2048;113090
GC;D;231221;000000;2048.1;2066.7;2043.5;2061.1;121764
GC;D;231222;000000;2061.2;2083;2058.5;2064.8;135152
GC;D;231225;000000;2064.5;2076;2064.5;2075.1;16325
GC;D;231226;000000;2075.1;2079.9;2065.5;2077.1;68394
GC;D;231227;000000;2077;2098.2;2072.8;2096.6;124426
GC;D;231228;000000;2096.7;2097.7;2075.6;2079.2;119094
GC;D;231229;000000;2079.2;2084.1;2067.6;2075.3;76467
GC;D;240101;000000;2071.8;2079.7;2071.4;2078.6;17391
GC;D;240102;000000;2078.7;2088.1;2064.3;2073;140260
GC;D;240103;000000;2073;2074.3;2038.3;2050.3;190044
GC;D;240104;000000;2050.2;2058.1;2043.3;2051.3;115424
GC;D;240105;000000;2051.2;2071.1;2030.8;2051.1;171517
GC;D;240108;000000;2052.6;2053.3;2022.7;2038.9;199336
GC;D;240109;000000;2038.9;2048.6;2031.9;2035.3;148961
GC;D;240110;000000;2035.4;2046.2;2025.9;2036.1;146434
GC;D;240111;000000;2036.1;2056.1;2017.3;2038.9;227644
GC;D;240112;000000;2038.8;2067.3;2037.8;2051.3;187259
GC;D;240115;000000;2053.6;2062.8;2049.5;2052.9;84128
GC;D;240116;000000;2053;2054.5;2026.5;2028.5;200631
GC;D;240117;000000;2028.5;2032.5;2004.6;2010;224503
GC;D;240118;000000;2010;2027.4;2007.7;2022.9;140283
GC;D;240119;000000;2022.9;2041.9;2022.2;2030.6;127092
GC;D;240122;000000;2031.8;2034.1;2017.4;2029;138639
GC;D;240123;000000;2028.9;2039.3;2022.6;2025.3;118679
GC;D;240124;000000;2025.2;2037.9;2011.7;2015.5;182321
GC;D;240125;000000;2015.5;2025.6;2004;2020.9;135341
GC;D;240126;000000;2020.8;2028.1;2015.6;2017.9;75054
GC;D;240129;000000;2018.2;2052.3;2018.2;2049.5;94210
GC;D;240130;000000;2049.6;2068;2047.1;2052.6;185187
GC;D;240131;000000;2052.6;2074.6;2048.8;2063;216317
GC;D;240201;000000;2063;2083.2;2046.4;2072.3;243336
GC;D;240202;000000;2072.2;2074.7;2044.2;2054.5;185780
GC;D;240205;000000;2057.1;2059.1;2030.8;2042.2;169895
GC;D;240206;000000;2042.3;2055.3;2038.8;2051.1;115924
GC;D;240207;000000;2051.1;2061.3;2046.4;2047.4;117653
GC;D;240208;000000;2047.4;2053.3;2034.6;2047.5;124985
GC;D;240209;000000;2047.4;2051.9;2034.3;2040.3;93097
GC;D;240212;000000;2038.7;2041.8;2025.4;2032.4;116193
GC;D;240213;000000;2032.4;2047.3;2000.9;2005;201607
GC;D;240214;000000;2005;2008.8;1996.4;2003.6;182461
GC;D;240215;000000;2003.6;2020.2;2003.2;2015.4;183233
GC;D;240216;000000;2015.4;2027.2;2006.6;2024.2;140249
GC;D;240219;000000;2025.5;2034.3;2023.9;2030.6;76742
GC;D;240220;000000;2030.7;2042.7;2028.6;2041.7;128771
GC;D;240221;000000;2041.7;2043.5;2030.9;2038.7;118624
GC;D;240222;000000;2038.7;2045.5;2029.3;2035.5;131878
GC;D;240223;000000;2035.5;2053.2;2025.4;2046.9;180736
GC;D;240226;000000;2045.8;2046.8;2034.1;2043;135196
GC;D;240227;000000;2043.1;2049.1;2037.9;2039;139957
GC;D;240228;000000;2039;2047.4;2033.4;2043.5;123437
GC;D;240229;000000;2043.5;2059.4;2036;2053.8;213896
GC;D;240301;000000;2053.9;2097.1;2047;2093.5;257915
GC;D;240304;000000;2091.6;2128.4;2088.1;2123.9;302568
