<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
XXBTZUSD;D;220503;000000;38499.9;38645.1;37507.9;37727.9;1875.03601922
XXBTZUSD;D;220504;000000;37727.9;40029.8;37674.8;39682.8;3072.74719791
XXBTZUSD;D;220505;000000;39677.6;39832;35407;36542.6;5103.87283173
XXBTZUSD;D;220506;000000;36540.4;36647;35280;36017.4;2897.56279581
XXBTZUSD;D;220507;000000;36017.4;36105.9;34755;35463;1293.31044199
XXBTZUSD;D;220508;000000;35463.1;35495;33700;34024.2;3717.25105101
XXBTZUSD;D;220509;000000;34028.3;34214.1;30050;30075.5;11296.8473721
XXBTZUSD;D;220510;000000;30052.6;32648.6;29755;30999.9;10419.44755119
XXBTZUSD;D;220511;000000;30999.9;32132;27700;28994.1;14865.74600975
XXBTZUSD;D;220512;000000;28998.2;30075.9;25332.8;28943.4;12159.20420874
XXBTZUSD;D;220513;000000;28943.5;30966;28684.5;29222.6;4289.72165684
XXBTZUSD;D;220514;000000;29232.8;30264;28600.5;30048.2;2749.78304312
XXBTZUSD;D;220515;000000;30051.7;31390;29452.6;31296.9;1579.87172232
XXBTZUSD;D;220516;000000;31294.5;31294.5;29060;29826.1;3703.174505
XXBTZUSD;D;220517;000000;29826.1;30742;29403;30408.3;2810.86074049
XXBTZUSD;D;220518;000000;30408.4;30653.1;28589.1;28664.3;4177.51533145
XXBTZUSD;D;220519;000000;28657.6;30503.7;28649.2;30280.7;3722.85334692
XXBTZUSD;D;220520;000000;30283.7;30721.2;28700.1;29167.5;3717.55661319
XXBTZUSD;D;220521;000000;29161.6;29606.3;28927.3;29403.5;1030.06024928
XXBTZUSD;D;220522;000000;29394.4;30500;29225.7;30268;1862.44107834
XXBTZUSD;D;220523;000000;30264.4;30630.7;28829.5;29070;3026.60166046
XXBTZUSD;D;220524;000000;29070;29819.7;28635.3;29631.8;2806.17199551
XXBTZUSD;D;220525;000000;29628;30188.9;29309;29520.3;2831.26904556
XXBTZUSD;D;220526;000000;29519.4;29854;27505;29186.9;4963.14828585
XXBTZUSD;D;220527;000000;29165.9;29386.5;28250;28580;4411.45476634
XXBTZUSD;D;220528;000000;28580;29229;28500.1;29020;1175.24284997
XXBTZUSD;D;220529;000000;29020.1;29555;28820;29450.4;1292.41650634
XXBTZUSD;D;220530;000000;29450.5;32186.4;29281.8;31711.7;5654.09722483
XXBTZUSD;D;220531;000000;31710.4;32400;31183.7;31780.9;3470.77076865
XXBTZUSD;D;220601;000000;31781;31929;29328.6;29790;5171.21778074
XXBTZUSD;D;220602;000000;29790;31449.2;29572.8;30427;2470.22902272
XXBTZUSD;D;220603;000000;30431.3;30658.9;29255;29676.4;2472.70542
XXBTZUSD;D;220604;000000;29676.4;29954.5;29450.1;29850;783.34433714
XXBTZUSD;D;220605;000000;29850.8;30162.4;29514;29907.6;963.56113985
XXBTZUSD;D;220606;000000;29907.6;31725.6;29881.9;31356.3;3447.46292616
XXBTZUSD;D;220607;000000;31353.1;31550;29200.2;31098.6;5748.6102822
XXBTZUSD;D;220608;000000;31097.2;31296.5;29848;30190.8;2829.62750608
XXBTZUSD;D;220609;000000;30190.8;30666;29892.2;30075.3;1940.03441123
XXBTZUSD;D;220610;000000;30085.3;30327.6;28845.2;29054.9;4353.22730975
XXBTZUSD;D;220611;000000;29056.2;29411.7;28095.9;28380.2;2317.67808556
XXBTZUSD;D;220612;000000;28395.9;28500.8;26506.5;26569.6;3666.64664503
XXBTZUSD;D;220613;000000;26542.2;26853.2;21930.4;22460.1;17333.48812069
XXBTZUSD;D;220614;000000;22460;23309;20824;22111;10473.22068889
XXBTZUSD;D;220615;000000;22115;22773.3;20089;22559.6;14784.40560659
XXBTZUSD;D;220616;000000;22557;22950;20200;20366.3;7892.29096304
XXBTZUSD;D;220617;000000;20366.3;21327.2;20231.3;20432.9;6404.16986731
XXBTZUSD;D;220618;000000;20440.3;20740.1;17600;18950;13006.20331051
XXBTZUSD;D;220619;000000;18950;20799.9;17911;20555.5;9585.50384504
XXBTZUSD;D;220620;000000;20550.1;21038.3;19625;20550;7167.34541768
XXBTZUSD;D;220621;000000;20551.2;21698.9;20323.6;20701.9;5232.17356545
XXBTZUSD;D;220622;000000;20704.1;20860.1;19750;19951.3;6091.94667736
XXBTZUSD;D;220623;000000;19951.3;21200;19880.4;21086.7;3813.37556928
XXBTZUSD;D;220624;000000;21090.8;21534.5;20731.1;21210.7;4922.5405392
XXBTZUSD;D;220625;000000;21221.6;21589;20888.8;21474.5;1835.57069102
XXBTZUSD;D;220626;000000;21476.8;21867;20957;21023.3;1913.1909771
