<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDRUB;D;221021;000000;60.65;60.65;60.65;60.65;0
USDRUB;D;221024;000000;61;61;61;61;0
USDRUB;D;221025;000000;60.25;60.25;60.25;60.25;0
USDRUB;D;221026;000000;61;62;60.325;61.25;892
USDRUB;D;221027;000000;61.3;61.3;61.3;61.3;0
USDRUB;D;221028;000000;61.5;61.5;61.5;61.5;0
USDRUB;D;221030;000000;61.5;61.5;61.5;61.5;1
USDRUB;D;221031;000000;61;61;61;61;0
USDRUB;D;221101;000000;61.37;61.75;61.3;61.75;3
USDRUB;D;221102;000000;61.1;62.05;60.7;60.7;9
USDRUB;D;221103;000000;61.35;61.35;61.35;61.35;0
USDRUB;D;221104;000000;61.833;62.18;61.833;61.9;2
USDRUB;D;221106;000000;60.95;60.95;60.95;60.95;1
USDRUB;D;221107;000000;60.7;60.7;60.7;60.7;0
USDRUB;D;221108;000000;60.5;60.5;60.5;60.5;0
USDRUB;D;221109;000000;60.45;60.45;60.45;60.45;0
USDRUB;D;221110;000000;60.525;60.525;60.525;60.525;0
USDRUB;D;221111;000000;59.75;60.825;58.985;59.55;1012
USDRUB;D;221113;000000;60.025;60.025;59.55;59.55;46
USDRUB;D;221114;000000;60.375;60.375;60.375;60.375;0
USDRUB;D;221115;000000;61.3;61.3;61.3;61.3;0
USDRUB;D;221116;000000;59.77;59.77;59.77;59.77;0
USDRUB;D;221117;000000;60.148;60.35;59.525;59.525;4
USDRUB;D;221118;000000;59.46;59.46;59.46;59.46;0
USDRUB;D;221120;000000;59.85;59.85;59.85;59.85;4
USDRUB;D;221121;000000;61.075;61.075;61.075;61.075;0
USDRUB;D;221122;000000;60.65;60.65;60.65;60.65;0
USDRUB;D;221123;000000;59.8;59.8;59.8;59.8;0
USDRUB;D;221124;000000;60.35;60.35;60.35;60.35;0
USDRUB;D;221125;000000;59.75;59.75;59.75;59.75;0
USDRUB;D;221128;000000;60.1347;60.85;59.2601;60.85;58
USDRUB;D;221129;000000;60.83;60.83;60.83;60.83;0
USDRUB;D;221130;000000;60.5346;60.925;60.5346;60.925;2
USDRUB;D;221201;000000;61.2;61.2;61.2;61.2;0
USDRUB;D;221202;000000;61.57;61.57;61.57;61.57;0
USDRUB;D;221204;000000;61.5;61.5;61.5;61.5;1
USDRUB;D;221205;000000;62.272;62.272;61.625;61.625;2
USDRUB;D;221206;000000;62.4;62.4;62.4;62.4;0
USDRUB;D;221207;000000;62.547;62.547;62.547;62.547;0
USDRUB;D;221208;000000;62.4;62.4;62.4;62.4;0
USDRUB;D;221209;000000;62.5;62.5;62.5;62.5;0
USDRUB;D;221211;000000;62.5;62.5;62.5;62.5;3
USDRUB;D;221212;000000;62.25;62.25;62.25;62.25;0
USDRUB;D;221213;000000;63.2;63.2;62.822;62.822;2
USDRUB;D;221214;000000;63.197;64.747;62.698;64.747;78
USDRUB;D;221215;000000;63.65;63.65;63.65;63.65;0
USDRUB;D;221216;000000;63.875;63.875;63.875;63.875;0
USDRUB;D;221218;000000;64;64;64;64;6
USDRUB;D;221219;000000;66;66;66;66;0
USDRUB;D;221220;000000;69.25;69.25;69.25;69.25;0
USDRUB;D;221221;000000;71.42;71.42;71.42;71.42;0
USDRUB;D;221222;000000;67;67;67;67;0
USDRUB;D;221223;000000;68;68;68;68;0
USDRUB;D;221226;000000;69.247;69.247;69.247;69.247;0
