<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
SU29007RMFS0;D;240312;000000;104.1;104.247;103.502;103.981;43023
SU29007RMFS0;D;240313;000000;104.199;104.3;103.8;104.01;12089
SU29007RMFS0;D;240314;000000;103.899;104.494;103.794;104.054;120851
SU29007RMFS0;D;240315;000000;104.1;104.3;104.001;104.102;16964
SU29007RMFS0;D;240318;000000;104.002;104.3;103.98;104.236;130137
SU29007RMFS0;D;240319;000000;104.299;105.099;104.106;104.262;65404
SU29007RMFS0;D;240320;000000;104.114;104.286;104;104.199;3684
SU29007RMFS0;D;240321;000000;104.097;104.266;103.92;103.959;3644
SU29007RMFS0;D;240322;000000;104.217;104.217;103.903;104.184;5885
SU29007RMFS0;D;240325;000000;104.025;104.25;103.9;104.241;6182
SU29007RMFS0;D;240326;000000;103.927;104.36;103.927;104.252;4708
SU29007RMFS0;D;240327;000000;104.242;104.394;104.001;104.39;10221
SU29007RMFS0;D;240328;000000;104.391;105.399;104;104.487;15208
SU29007RMFS0;D;240329;000000;104.019;104.491;104.019;104.396;117395
SU29007RMFS0;D;240401;000000;104.181;104.979;104.13;104.414;12188
SU29007RMFS0;D;240402;000000;104.438;104.496;104.111;104.396;59822
SU29007RMFS0;D;240403;000000;104.439;104.439;104.222;104.312;6544
SU29007RMFS0;D;240404;000000;104.342;104.399;104.143;104.21;12424
SU29007RMFS0;D;240405;000000;104.328;104.468;104.231;104.374;1052
SU29007RMFS0;D;240408;000000;104.249;104.518;104.2;104.35;16652
SU29007RMFS0;D;240409;000000;104.399;104.399;104.202;104.309;52506
SU29007RMFS0;D;240410;000000;104.25;104.397;104.2;104.2;7715
SU29007RMFS0;D;240411;000000;104.206;104.269;104.021;104.021;4915
SU29007RMFS0;D;240412;000000;104.027;104.289;104.021;104.105;2644
SU29007RMFS0;D;240415;000000;104.105;104.263;104.044;104.195;6157
SU29007RMFS0;D;240416;000000;104.311;104.32;104.068;104.2;5542
SU29007RMFS0;D;240417;000000;104.075;104.32;104.075;104.27;4233
SU29007RMFS0;D;240418;000000;104.221;104.317;104.102;104.299;1249
SU29007RMFS0;D;240419;000000;104.297;104.313;104.162;104.25;1701
SU29007RMFS0;D;240422;000000;104.1;104.31;104.013;104.111;3027
SU29007RMFS0;D;240423;000000;104.194;104.194;103.901;104;9193
SU29007RMFS0;D;240424;000000;103.983;104.163;103.817;103.874;22671
SU29007RMFS0;D;240425;000000;104.115;104.205;104;104.102;5156
SU29007RMFS0;D;240426;000000;104.102;104.318;104;104.16;4392
SU29007RMFS0;D;240427;000000;104.319;104.319;103.919;104.189;19215
SU29007RMFS0;D;240429;000000;104.1;104.144;103.906;104.014;958
SU29007RMFS0;D;240430;000000;103.907;104.173;103.83;104.068;5019
SU29007RMFS0;D;240502;000000;104.187;104.187;103.86;103.899;6612
SU29007RMFS0;D;240503;000000;103.89;103.971;103.636;103.657;4036
SU29007RMFS0;D;240506;000000;103.975;103.975;103.646;103.655;3718
SU29007RMFS0;D;240507;000000;103.593;103.968;103.503;103.939;4116
SU29007RMFS0;D;240508;000000;103.849;103.922;103.701;103.8;2418
SU29007RMFS0;D;240510;000000;103.866;103.943;103.712;103.901;581
SU29007RMFS0;D;240513;000000;103.966;103.966;103.501;103.643;4836
SU29007RMFS0;D;240514;000000;103.644;103.89;103.512;103.77;11994
SU29007RMFS0;D;240515;000000;103.804;103.804;103.507;103.679;2221
SU29007RMFS0;D;240516;000000;103.679;103.79;103.346;103.579;5016
SU29007RMFS0;D;240517;000000;103.557;103.598;103.36;103.363;5180
SU29007RMFS0;D;240520;000000;103.602;103.602;103.107;103.11;7340
SU29007RMFS0;D;240521;000000;103;103.446;103;103.298;6519
SU29007RMFS0;D;240522;000000;103.389;103.396;103.001;103.338;1074
SU29007RMFS0;D;240523;000000;103.401;103.429;102.806;103.219;7405
SU29007RMFS0;D;240524;000000;103.253;103.427;103.001;103.329;12642
SU29007RMFS0;D;240527;000000;103.482;103.52;103.01;103.485;480786
SU29007RMFS0;D;240528;000000;103.565;103.565;103.02;103.545;6087
SU29007RMFS0;D;240529;000000;103.544;103.545;103.036;103.51;1044
SU29007RMFS0;D;240530;000000;103.51;103.679;103.366;103.565;4229
SU29007RMFS0;D;240531;000000;103.678;103.678;103.361;103.361;2370
SU29007RMFS0;D;240603;000000;103.36;103.42;102.366;103.056;9869
SU29007RMFS0;D;240604;000000;102;103.099;102;103.077;2429
SU29007RMFS0;D;240605;000000;103.497;103.594;103;103.03;3635
SU29007RMFS0;D;240606;000000;103.588;103.628;102.901;103.181;3829
SU29007RMFS0;D;240607;000000;103.579;103.579;102.702;103.214;4084
SU29007RMFS0;D;240610;000000;103.218;103.22;102.7;103;1966
SU29007RMFS0;D;240611;000000;103.003;103.119;102.899;103.118;1831
SU29007RMFS0;D;240613;000000;102.911;103.119;102.813;102.85;3509
SU29007RMFS0;D;240614;000000;103.092;103.443;102.103;102.988;6266
SU29007RMFS0;D;240617;000000;102.82;103.3;102.82;103.268;30305
SU29007RMFS0;D;240618;000000;103.259;103.259;102.707;102.972;15998
SU29007RMFS0;D;240619;000000;102.3;103.089;102.3;102.748;3287
SU29007RMFS0;D;240620;000000;102.705;103.26;102.222;102.689;7260
SU29007RMFS0;D;240621;000000;102.241;103.146;102.234;102.79;14673
SU29007RMFS0;D;240624;000000;102.792;103.094;102;102.451;9005
SU29007RMFS0;D;240625;000000;102.682;102.868;102.45;102.866;7151
SU29007RMFS0;D;240626;000000;102.867;102.869;101.648;102.664;6673
SU29007RMFS0;D;240627;000000;102.997;102.997;102.655;102.674;3618
SU29007RMFS0;D;240628;000000;102.833;102.899;102.701;102.715;2150
SU29007RMFS0;D;240701;000000;102.743;103.057;102.401;102.973;2671
SU29007RMFS0;D;240702;000000;102.973;103.039;102.689;102.689;3259
SU29007RMFS0;D;240703;000000;102.926;103.003;102.529;102.963;3233
SU29007RMFS0;D;240704;000000;102.93;102.93;102.503;102.834;1045
SU29007RMFS0;D;240705;000000;102.508;102.83;102.5;102.72;9935
SU29007RMFS0;D;240708;000000;102.719;102.799;102.555;102.698;651
SU29007RMFS0;D;240709;000000;102.556;102.702;102.413;102.46;1943
SU29007RMFS0;D;240710;000000;102.273;102.568;102.273;102.44;1439
SU29007RMFS0;D;240711;000000;102.356;102.567;102.286;102.389;3244
SU29007RMFS0;D;240712;000000;102.274;102.498;102.274;102.498;2395
SU29007RMFS0;D;240715;000000;102.272;102.512;102.271;102.512;1510
SU29007RMFS0;D;240716;000000;102.484;102.549;102.301;102.43;6554
SU29007RMFS0;D;240717;000000;102.536;102.536;102.18;102.49;5390
SU29007RMFS0;D;240718;000000;102.284;102.49;102.282;102.49;13101
SU29007RMFS0;D;240719;000000;102.449;102.49;102.25;102.47;3772
SU29007RMFS0;D;240722;000000;102.271;102.531;102.26;102.483;1078
SU29007RMFS0;D;240723;000000;102.483;102.483;102.257;102.4;1278
SU29007RMFS0;D;240724;000000;102.356;102.448;102.25;102.445;1820
SU29007RMFS0;D;240725;000000;102.475;102.479;102.172;102.435;6451
SU29007RMFS0;D;240726;000000;102.478;102.479;101.718;102.407;4047
SU29007RMFS0;D;240729;000000;102.409;102.447;102.15;102.407;5629
SU29007RMFS0;D;240730;000000;102.366;102.399;101.808;102.308;5320
SU29007RMFS0;D;240731;000000;102.348;102.35;101.7;101.881;5760
SU29007RMFS0;D;240801;000000;102.172;102.548;102.056;102.201;5248
SU29007RMFS0;D;240802;000000;102.306;102.397;102.204;102.387;8778
SU29007RMFS0;D;240805;000000;102.301;102.57;102.12;102.217;4507
SU29007RMFS0;D;240806;000000;102.282;102.35;101.7;102.27;3199
SU29007RMFS0;D;240807;000000;102.126;102.293;101.9;102.263;3008
SU29007RMFS0;D;240808;000000;102.266;102.299;102.127;102.153;2666
SU29007RMFS0;D;240809;000000;102.344;102.515;102.102;102.306;12804
SU29007RMFS0;D;240812;000000;102.259;102.349;102.15;102.188;2736
SU29007RMFS0;D;240813;000000;102.188;102.304;102.107;102.289;2333
SU29007RMFS0;D;240814;000000;102.288;102.491;102.125;102.488;14073
SU29007RMFS0;D;240815;000000;102.362;102.483;102.15;102.214;5125
SU29007RMFS0;D;240816;000000;102.469;102.57;102.101;102.556;4316
SU29007RMFS0;D;240819;000000;102.471;103;102.4;102.608;3995
SU29007RMFS0;D;240820;000000;102.602;104.36;102.601;103.793;3885
SU29007RMFS0;D;240821;000000;103.786;104.993;102.5;104.106;9344
SU29007RMFS0;D;240822;000000;102.73;104.98;102.73;104;3809
SU29007RMFS0;D;240823;000000;103.999;105.01;102.823;103.401;7135
SU29007RMFS0;D;240826;000000;102.9;104.904;102.9;103.003;9590
SU29007RMFS0;D;240827;000000;103.002;103.002;102.405;103.002;1120
SU29007RMFS0;D;240828;000000;102.951;103.003;102.54;103.003;4226
SU29007RMFS0;D;240829;000000;102.714;104.101;102.518;103.083;8054
SU29007RMFS0;D;240830;000000;102.56;104.111;102.56;103.699;2505
SU29007RMFS0;D;240902;000000;103.976;104.049;102.724;103.182;8805
SU29007RMFS0;D;240903;000000;103.818;103.99;102.403;103.793;4588
SU29007RMFS0;D;240904;000000;103;103.749;102.4;103.097;12702
SU29007RMFS0;D;240905;000000;103.103;103.705;102.251;102.258;5613
SU29007RMFS0;D;240906;000000;102.259;105.568;102.259;103.794;21227
SU29007RMFS0;D;240909;000000;105.453;105.453;102.562;102.7;54039
SU29007RMFS0;D;240910;000000;103.383;103.383;102.643;103.337;2220
SU29007RMFS0;D;240911;000000;103.337;103.871;103.032;103.511;140143
SU29007RMFS0;D;240912;000000;103.263;103.263;101.7;102.295;8182
SU29007RMFS0;D;240913;000000;102.389;102.996;101.485;102.639;4698
SU29007RMFS0;D;240916;000000;102.64;103.1;102.2;102.542;2984
SU29007RMFS0;D;240917;000000;102.598;102.698;102.257;102.351;2379
SU29007RMFS0;D;240918;000000;102.694;102.698;102.148;102.45;11395
SU29007RMFS0;D;240919;000000;102.32;103.103;102.15;102.357;1592
SU29007RMFS0;D;240920;000000;102.832;103.278;102.2;103.278;1374
SU29007RMFS0;D;240923;000000;102.799;103.211;102;102.994;3929
SU29007RMFS0;D;240924;000000;103.299;103.299;102.205;102.499;1587
SU29007RMFS0;D;240925;000000;103.033;103.033;99.8;102.219;9224
SU29007RMFS0;D;240926;000000;102.247;102.247;101.993;102.079;3230
SU29007RMFS0;D;240927;000000;102.095;102.45;101.999;102.197;2712
SU29007RMFS0;D;240930;000000;102.499;102.499;101.751;102.456;2587
SU29007RMFS0;D;241001;000000;102.427;102.427;101.75;102.004;14230
SU29007RMFS0;D;241002;000000;102.413;102.413;101.907;102.272;1302
SU29007RMFS0;D;241003;000000;102.322;102.397;102.005;102.349;2080
SU29007RMFS0;D;241004;000000;102.201;103.652;101.81;102.77;6331
SU29007RMFS0;D;241007;000000;102.771;103.185;102.006;102.299;3198
SU29007RMFS0;D;241008;000000;102.494;102.497;102.051;102.497;4462
